Ariton	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Arley	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Arlington	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Ashford	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Ashland	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Ashville	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Athens	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Atmore	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Attalla	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Auburn	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Auburn University	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Autaugaville	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Axis	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Baileyton	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Banks	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Bankston	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Bay Minette	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Bayou La Batre	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Bear Creek	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Beatrice	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Beaverton	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Belk	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Bellamy	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Belle Mina	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Bellwood	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Berry	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Bessemer	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Billingsley	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Birmingham	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Black	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Blountsville	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Boaz	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Boligee	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Bon Air	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Bon Secour	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Booth	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Boykin	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Brantley	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Bremen	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Brent	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Brewton	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Bridgeport	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Brierfield	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
Brilliant	AL	2017-10-02 10:48:16.572684-04	2017-10-02 10:48:16.572684-04
